year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2024,7,22,lat,Vecchia_mm20,1.8706,1.6861,-1.6861,hour_dummy_plus_lat_lon_ols,False,10.4539,0.2975,0.4320,1.5981,2.0759
2024,7,22,lon,Corridor_4x4_lag643,1.0827,0.9084,-0.3731,hour_dummy_plus_lat_lon_ols,False,8.6371,0.1658,0.2127,0.8765,1.1697
2024,7,22,lon,Debiased_Whittle,1.2829,1.0832,-0.6768,hour_dummy_plus_lat_lon_ols,False,9.3726,0.1496,0.1845,0.8334,0.6890
2024,7,22,lon,Vecchia_mm20,1.7884,1.5500,-1.5500,hour_dummy_plus_lat_lon_ols,False,10.4539,0.2975,0.4320,1.5981,2.0759
2024,7,23,lat,Corridor_4x4_lag643,0.8911,0.7091,0.4141,hour_dummy_plus_lat_lon_ols,False,8.4908,0.1593,0.1857,1.0978,1.1086
2024,7,23,lat,Debiased_Whittle,1.2591,1.0389,0.7592,hour_dummy_plus_lat_lon_ols,False,7.8449,0.1368,0.1588,1.1218,1.1996
2024,7,23,lat,Vecchia_mm20,1.1780,1.0337,-1.0337,hour_dummy_plus_lat_lon_ols,False,9.8470,0.2938,0.4053,2.0801,2.1264
2024,7,23,lon,Corridor_4x4_lag643,0.9366,0.7955,-0.3089,hour_dummy_plus_lat_lon_ols,False,8.4908,0.1593,0.1857,1.0978,1.1086
2024,7,23,lon,Debiased_Whittle,1.0558,0.9477,0.0007,hour_dummy_plus_lat_lon_ols,False,7.8449,0.1368,0.1588,1.1218,1.1996
2024,7,23,lon,Vecchia_mm20,1.4335,1.2634,-1.2634,hour_dummy_plus_lat_lon_ols,False,9.8470,0.2938,0.4053,2.0801,2.1264
2024,7,24,lat,Corridor_4x4_lag643,0.6888,0.5617,-0.3653,hour_dummy_plus_lat_lon_ols,False,7.9546,0.1742,0.2704,1.0154,0.9426
2024,7,24,lat,Debiased_Whittle,2.2560,1.9792,1.9792,hour_dummy_plus_lat_lon_ols,False,5.2156,0.1283,0.2138,0.8669,0.7734
2024,7,24,lat,Vecchia_mm20,1.4211,1.2387,-1.2387,hour_dummy_plus_lat_lon_ols,False,9.0601,0.2761,0.4779,1.7379,1.3869
2024,7,24,lon,Corridor_4x4_lag643,1.0195,0.8337,-0.8324,hour_dummy_plus_lat_lon_ols,False,7.9546,0.1742,0.2704,1.0154,0.9426
2024,7,24,lon,Debiased_Whittle,1.6038,1.3419,1.3419,hour_dummy_plus_lat_lon_ols,False,5.2156,0.1283,0.2138,0.8669,0.7734
2024,7,24,lon,Vecchia_mm20,1.4382,1.2338,-1.2025,hour_dummy_plus_lat_lon_ols,False,9.0601,0.2761,0.4779,1.7379,1.3869
2024,7,25,lat,Corridor_4x4_lag643,1.0285,0.8801,-0.8801,hour_dummy_plus_lat_lon_ols,False,11.1011,0.1839,0.3306,1.1883,1.0401
2024,7,25,lat,Debiased_Whittle,1.0091,0.7613,-0.7566,hour_dummy_plus_lat_lon_ols,False,11.0238,0.1503,0.2692,1.1117,0.7427
2024,7,25,lat,Vecchia_mm20,2.3564,2.1391,-2.1391,hour_dummy_plus_lat_lon_ols,False,12.7320,0.2685,0.5018,1.6901,1.5134
2024,7,25,lon,Corridor_4x4_lag643,1.6127,1.4070,-1.4070,hour_dummy_plus_lat_lon_ols,False,11.1011,0.1839,0.3306,1.1883,1.0401
2024,7,25,lon,Debiased_Whittle,1.6247,1.4231,-1.4231,hour_dummy_plus_lat_lon_ols,False,11.0238,0.1503,0.2692,1.1117,0.7427
2024,7,25,lon,Vecchia_mm20,2.4234,2.0682,-2.0682,hour_dummy_plus_lat_lon_ols,False,12.7320,0.2685,0.5018,1.6901,1.5134
2024,7,26,lat,Corridor_4x4_lag643,0.5624,0.4997,0.0764,hour_dummy_plus_lat_lon_ols,False,8.9934,0.1156,0.1666,0.9041,1.3240
2024,7,26,lat,Debiased_Whittle,0.8140,0.7332,0.0712,hour_dummy_plus_lat_lon_ols,False,9.6649,0.0809,0.1288,0.9422,0.4372
2024,7,26,lat,Vecchia_mm20,0.9430,0.7979,-0.7979,hour_dummy_plus_lat_lon_ols,False,9.5882,0.1786,0.2587,1.2574,2.0872
2024,7,26,lon,Corridor_4x4_lag643,0.6861,0.5831,-0.2818,hour_dummy_plus_lat_lon_ols,False,8.9934,0.1156,0.1666,0.9041,1.3240
2024,7,26,lon,Debiased_Whittle,0.7919,0.6889,-0.2514,hour_dummy_plus_lat_lon_ols,False,9.6649,0.0809,0.1288,0.9422,0.4372
2024,7,26,lon,Vecchia_mm20,1.1964,0.9946,-0.9946,hour_dummy_plus_lat_lon_ols,False,9.5882,0.1786,0.2587,1.2574,2.0872
2024,7,27,lat,Corridor_4x4_lag643,0.4380,0.3621,-0.1332,hour_dummy_plus_lat_lon_ols,False,6.3705,0.1278,0.2039,1.1775,1.3905
2024,7,27,lat,Debiased_Whittle,2.9067,2.7869,2.7869,hour_dummy_plus_lat_lon_ols,False,3.4255,0.1268,0.1844,0.8087,1.0761
2024,7,27,lat,Vecchia_mm20,2.3454,2.2421,-2.2421,hour_dummy_plus_lat_lon_ols,False,8.5919,0.1726,0.2781,1.4533,1.7963
2024,7,27,lon,Corridor_4x4_lag643,0.8434,0.7737,-0.7737,hour_dummy_plus_lat_lon_ols,False,6.3705,0.1278,0.2039,1.1775,1.3905
2024,7,27,lon,Debiased_Whittle,2.0215,1.9611,1.9611,hour_dummy_plus_lat_lon_ols,False,3.4255,0.1268,0.1844,0.8087,1.0761
2024,7,27,lon,Vecchia_mm20,2.8688,2.6551,-2.6551,hour_dummy_plus_lat_lon_ols,False,8.5919,0.1726,0.2781,1.4533,1.7963
2024,7,28,lat,Corridor_4x4_lag643,0.3808,0.2883,-0.2341,hour_dummy_plus_lat_lon_ols,False,6.9791,0.1595,0.2283,1.4677,1.3718
2024,7,28,lat,Debiased_Whittle,2.6955,2.5087,2.5087,hour_dummy_plus_lat_lon_ols,False,3.8439,0.1173,0.1434,1.3179,1.2193
2024,7,28,lat,Vecchia_mm20,0.4371,0.3795,-0.3385,hour_dummy_plus_lat_lon_ols,False,6.7326,0.2652,0.4442,2.4697,2.0980
