date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,16,18.905746545726288,18.924882639210317,174,42.96760578574156,4.998397249217992,7.847182328179307,12.54668652328991,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,17,20.051549366679396,20.055622399506323,186,42.96760578574156,4.469103454792079,7.201038407318898,10.823591486632443,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,18,21.197352187632504,21.21689630794462,196,42.96760578574156,5.3541854016161485,6.626213070176924,9.356154986465006,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,19,22.34315500858561,22.365098345328214,206,42.96760578574156,4.922289427968839,6.2322304352873426,8.146533256508148,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,20,23.48895782953872,23.50197308177751,222,42.96760578574156,4.948677682236978,5.881067967103271,7.140981305816713,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,21,24.63476065049183,24.62149265069659,221,42.96760578574156,4.969432533819518,5.573471729224442,6.301771314981401,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,22,25.78056347144494,25.753220292042254,198,42.96760578574156,5.937892031192586,5.195009072980227,5.579202625697472,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,23,26.926366292398047,26.888973344881837,178,42.96760578574156,5.966283934167296,4.845677614958705,4.957967943030594,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,24,28.072169113351155,28.044035971152297,182,42.96760578574156,5.73856932427799,4.582451376425912,4.415743421680507,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,25,29.217971934304263,29.226126552847166,182,42.96760578574156,4.313130183151376,4.372595719905108,3.9379917757269176,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,26,30.36377475525737,30.35905022076347,172,42.96760578574156,4.37587556797311,4.187003264127214,3.5414339267281996,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,27,31.509577576210482,31.508974851516133,170,42.96760578574156,4.508236239377745,4.057408696659699,3.191350503350552,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,28,32.65538039716359,32.66670839705195,168,42.96760578574156,5.159007473006329,3.9460876857128064,2.882837107862819,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,29,33.8011832181167,33.80557707630151,160,42.96760578574156,5.057730727092372,3.8447313422616047,2.616721751205977,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,30,34.946986039069806,34.978238907489704,170,42.96760578574156,4.260589311054865,3.7902874801799804,2.3753821595828057,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,31,36.092788860022914,36.13158704314454,130,42.96760578574156,5.528389496138357,3.7240701650430994,2.1656753643165088,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,32,37.23859168097602,37.27131507371626,94,42.96760578574156,6.528543474817954,3.676422236042694,1.981854836492387,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,33,38.38439450192913,38.408323214044735,82,42.96760578574156,5.112640400590581,3.628476829328517,1.8183756397060824,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,34,39.53019732288224,39.516826790211844,52,42.96760578574156,5.312977837142932,3.5966010049748567,1.6756412588230996,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,35,40.676000143835346,40.64537353336212,34,42.96760578574156,4.7316562774013,3.5708381144993857,1.5451628424908188,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,36,41.82180296478845,41.8074915501277,26,42.96760578574156,5.5016290974867115,3.553616070543799,1.4244189843923911,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,37,42.96760578574156,42.97758132048538,6,42.96760578574156,7.778859655597583,3.5453569065368846,1.3151312893395548,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,38,44.11340860669467,44.12023387815045,0,42.96760578574156,,,1.2188204867682024,11111.91883816286
