tile_y,tile_x,n,median_error,mean_error,median_o3,mean_o3,median_vza,median_sza,year,slot,file
0,4,4483,1.369733,1.2323912,245.3673,246.39828,7.370725,62.69218,2023,7,20230701_0745.nc
0,5,4604,1.5697442,1.4019917,245.44287,245.73436,4.683955,64.52235,2023,7,20230701_0745.nc
0,6,4589,1.5201856,1.3717523,246.68503,246.76225,2.5657756,66.37393,2023,7,20230701_0745.nc
0,7,4627,1.6375993,1.4577999,248.16447,248.73419,2.9110265,68.21765,2023,7,20230701_0745.nc
1,0,4070,1.0272696,1.1429584,251.17514,251.7115,18.810143,54.140373,2023,7,20230701_0745.nc
1,1,4077,0.9931558,1.0686718,250.61703,251.48444,15.8950205,55.993793,2023,7,20230701_0745.nc
1,2,3406,1.1572042,1.3103557,253.05884,252.75523,12.745642,58.014183,2023,7,20230701_0745.nc
1,3,4221,1.0376911,1.0440723,248.6207,249.60492,10.13781,59.64352,2023,7,20230701_0745.nc
1,4,4349,1.3760685,1.2983516,248.03867,249.52927,7.1944804,61.534027,2023,7,20230701_0745.nc
1,5,4443,1.5506997,1.4550978,248.86253,249.83429,4.286777,63.437103,2023,7,20230701_0745.nc
1,6,4501,1.4744141,1.3366226,250.44125,252.40488,1.8275213,65.2944,2023,7,20230701_0745.nc
1,7,4587,1.8671935,1.704356,250.54958,251.21068,2.2601242,67.17323,2023,7,20230701_0745.nc
2,0,3807,0.97129214,1.1681991,258.5531,258.13608,19.055998,53.02766,2023,7,20230701_0745.nc
2,1,4117,1.0253788,1.1870935,259.4013,259.17313,16.327515,54.834,2023,7,20230701_0745.nc
2,2,4081,1.1123419,1.2795337,258.82706,258.25958,13.467273,56.751907,2023,7,20230701_0745.nc
2,3,4343,1.3045316,1.232634,251.82402,253.2812,10.694032,58.631527,2023,7,20230701_0745.nc
2,4,4539,1.3778024,1.2699038,249.64413,251.24808,8.098275,60.47235,2023,7,20230701_0745.nc
2,5,4441,1.4586426,1.3024276,251.88066,253.49513,5.7137237,62.358303,2023,7,20230701_0745.nc
2,6,4452,1.582553,1.4171492,252.10335,253.55048,4.109,64.24855,2023,7,20230701_0745.nc
2,7,4612,1.8136756,1.7040925,250.5892,250.88492,4.325021,66.12742,2023,7,20230701_0745.nc
3,0,4168,0.85474086,1.1607254,264.4113,264.75766,19.97351,51.857666,2023,7,20230701_0745.nc
3,1,4021,1.0811471,1.3946943,267.97357,267.69186,17.328253,53.706863,2023,7,20230701_0745.nc
3,2,3681,1.2044404,1.4012905,265.42816,265.56107,14.637461,55.64222,2023,7,20230701_0745.nc
3,3,4407,1.108289,1.0516071,259.18906,259.04898,12.108492,57.55636,2023,7,20230701_0745.nc
3,4,4558,0.929814,0.9752051,262.75604,262.2967,9.848909,59.450935,2023,7,20230701_0745.nc
3,5,4239,1.4420092,1.3116423,256.5331,257.4655,7.913453,61.35816,2023,7,20230701_0745.nc
