year,file,rows,rows_in_region,good_error_rows
2024,20240703_0345.nc,1423360,144176,133603
2024,20240703_0445.nc,1423360,144142,134000
2024,20240703_0545.nc,1423360,144215,134905
2024,20240703_0645.nc,1423360,144206,135947
2024,20240703_0745.nc,1423360,144235,135295
2024,20240703_2345.nc,710656,103544,94705
2024,20240704_0045.nc,1423360,144133,134239
2024,20240704_0145.nc,1423360,144160,134626
2024,20240704_0245.nc,1423360,144173,135613
2024,20240704_0345.nc,1423360,144174,136210
2024,20240704_0445.nc,1423360,144126,137168
2024,20240704_0545.nc,1423360,144209,137344
2024,20240704_0645.nc,1423360,144193,136812
2024,20240704_0745.nc,1423360,144231,135671
2024,20240705_0045.nc,1423360,144143,138278
2024,20240705_0145.nc,1423360,144139,138941
2024,20240705_0245.nc,1423360,144190,139184
2024,20240705_0345.nc,1423360,144196,139353
2024,20240705_0445.nc,1423360,144211,139318
2024,20240705_0545.nc,1423360,144227,138865
2024,20240705_0645.nc,1423360,144165,138611
2024,20240705_0745.nc,1423360,144232,137853
2024,20240705_2345.nc,710656,103546,97707
2024,20240706_0045.nc,1423360,144113,135660
2024,20240706_0145.nc,1423360,144080,137575
2024,20240706_0245.nc,1423360,144178,138770
2024,20240706_0345.nc,1423360,144188,139384
2024,20240706_0445.nc,1423360,144204,139288
2024,20240706_0545.nc,1423360,144214,138904
2024,20240706_0645.nc,1423360,144224,138428
2024,20240706_0745.nc,1423360,144177,138636
2024,20240706_2345.nc,710656,103477,95283
2024,20240707_0045.nc,1423360,144036,131147
2024,20240707_0145.nc,1423360,144104,131278
2024,20240707_0245.nc,1423360,144173,131861
2024,20240707_0345.nc,1423360,144186,133093
2024,20240707_0445.nc,1423360,144197,133684
2024,20240707_0545.nc,1423360,144213,134537
2024,20240707_0645.nc,1423360,144216,135353
2024,20240707_0745.nc,1423360,144206,135090
2024,20240707_2345.nc,710656,103448,90400
2024,20240708_0045.nc,1423360,144069,127936
2024,20240708_0145.nc,1423360,144118,126374
2024,20240708_0245.nc,1423360,144174,125566
2024,20240708_0345.nc,1423360,144177,126074
2024,20240708_0445.nc,1423360,144184,125980
2024,20240708_0545.nc,1423360,144208,128088
2024,20240708_0645.nc,1423360,144226,130134
2024,20240708_0745.nc,1423360,144226,131297
2024,20240708_2345.nc,710656,103483,92998
2024,20240709_0045.nc,1423360,144102,129518
2024,20240709_0145.nc,1423360,144141,128273
2024,20240709_0245.nc,1423360,144176,129009
2024,20240709_0345.nc,1423360,144189,128349
2024,20240709_0445.nc,1423360,144225,128383
2024,20240709_0545.nc,1423360,144227,129593
2024,20240709_0645.nc,1423360,144227,131396
2024,20240709_0745.nc,1423360,144244,133590
2024,20240709_2345.nc,710656,103533,94269
2024,20240710_0045.nc,1423360,144125,133399
