dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,33,0.0049773011673047325,0.004954891807651801
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,34,0.004733855086431388,0.004540027731746221
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,35,0.004495364134553298,0.004540027731746221
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,36,0.0042259524263520126,0.003953916153677932
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,37,0.003992719624820044,0.003953916153677932
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,38,0.0038812109664700016,0.0039053907432557216
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,39,0.00385637539791674,0.0039053907432557216
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,40,0.0037511609947143178,0.003620465714725431
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,41,0.003542112773352624,0.0036204657147254297
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,42,0.003277674356268112,0.003098014511502374
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,43,0.0031508791915323625,0.0030980145115023735
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,44,0.0031124601579657117,0.00299971882493473
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,45,0.0030357896990408375,0.00299971882493473
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,46,0.0029617246731834246,0.002849794390684528
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,47,0.0028950097960973413,0.0028497943906845265
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,48,0.002862089484134119,0.0028163905937247076
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,49,0.0028335281009963134,0.0028163905937247076
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,50,0.002785472910928863,0.002697414001244875
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,51,0.0026997059030197277,0.0026974140012448744
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,52,0.0026372508979007614,0.0026325974324268773
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,53,0.002603061687474726,0.0026325974324268764
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,54,0.0025255273667001443,0.0025203688771810455
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,55,0.0024771274087885624,0.0025203688771810455
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,56,0.0024439797517162246,0.002329244304859806
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,57,0.002415587459840914,0.002329244304859806
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,58,0.0023769678733732394,0.0023171836654773182
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,59,0.0023766976990472416,0.0023171836654773182
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,60,0.0023599057908011015,0.0022171094360618816
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,61,0.002269997400455229,0.0022171094360618816
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,62,0.002232030091868821,0.002216671509854841
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,63,0.002169356982584274,0.00221667150985484
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,64,0.002168485615771917,0.002138946107260271
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,65,0.002148089331819949,0.0021389461072602706
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,66,0.002082751086440883,0.0020966167319339877
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,67,0.002071052972222558,0.0020966167319339873
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,68,0.0020336830845887627,0.002093984953892993
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,69,0.0020313083928493753,0.002093984953892992
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,70,0.0020273873395171447,0.001984923455657582
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,71,0.001979585319690671,0.001984923455657582
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,72,0.001979421826142776,0.0019345018960202213
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,73,0.0019739198518675008,0.0019345018960202213
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,74,0.001932578261292449,0.0018974391297813863
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,75,0.0019067884136938266,0.001897439129781386
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,76,0.0018761756842926164,0.0018761760108454391
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,77,0.0018705356138152076,0.0018761760108454385
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,78,0.0018298259169060142,0.0017508400145211961
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,79,0.0016591314640680567,0.0017508400145211955
simulation,13,east_west,latitude_band,3,-1.0,0.0,368,80,80,0.0015423456982568535,0.0015404126353603797
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,1,0.10725609366979082,0.12000885129226663
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,2,0.09262280523252067,0.09064996534883858
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,3,0.08702350736082883,0.09064996534883858
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,4,0.07901160346135805,0.0758220942593575
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,5,0.07001983967738014,0.07582209425935749
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,6,0.057799740749970754,0.04913738318321938
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,7,0.044760391593452055,0.04913738318321938
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,8,0.03832907507139148,0.03786594121282496
