dataset,direction,rank,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,periodogram_fraction_mean,periodogram_fraction_min,periodogram_fraction_max
real,east_west,75,0.0014883537299706614,0.0008312983398843334,0.0024387782101568467,0.0014795946964332256,0.0008470437042111139,0.002414913603326936
real,east_west,76,0.0014775425962108048,0.0008295148489466274,0.00243761016147686,0.0014669660456762125,0.0008403596767628435,0.0024149136033269356
real,east_west,77,0.001465590250472387,0.0008276734744101828,0.002408646492216526,0.0014508578190382505,0.0008403596767628434,0.002392972498574313
real,east_west,78,0.0014556966318224165,0.0008159798920824019,0.0024042936714212086,0.0014320160562234436,0.0007880421620414633,0.0023929724985743126
real,east_west,79,0.0014347903136987042,0.0008124425417277216,0.0023750777780709017,0.0014033458452585984,0.0007880421620414631,0.002371120053728632
real,east_west,80,0.001422500819454583,0.0007523120613308096,0.002374635865525666,0.001389174418829554,0.0007187771649195174,0.0023711200537286314
real,north_south,1,0.15489820766235177,0.0708436516566223,0.2817693400161618,0.18535608912394547,0.07752015717505949,0.38623926089170896
real,north_south,2,0.10279070155736916,0.06854558553680794,0.15800329605557756,0.08115783007579994,0.040264740665383124,0.1338895400659502
real,north_south,3,0.0705490371097778,0.04096222247075786,0.0999691516538526,0.08009834155651707,0.040264740665383124,0.1338895400659502
real,north_south,4,0.055751318302473006,0.039786247972064696,0.07338792188591442,0.04911324932545605,0.03500809987823374,0.07745337152640033
real,north_south,5,0.04738788309637149,0.033181233982168955,0.0684256927583521,0.04911324932545604,0.03500809987823372,0.07745337152640033
real,north_south,6,0.041965598690888936,0.028360579323514372,0.05140103685106615,0.038227746523587396,0.025556430601620383,0.04975895838476041
real,north_south,7,0.03662311617529633,0.026912875598545726,0.04901370169080739,0.03822774652358739,0.025556430601620383,0.0497589583847604
real,north_south,8,0.03203647352002987,0.021924678632288405,0.043615667062925655,0.029027944312672062,0.020172002943948972,0.04290320863522618
real,north_south,9,0.028473592511524145,0.01949245286772297,0.04020617743052113,0.02902794431267206,0.02017200294394897,0.04290320863522618
real,north_south,10,0.025053759962731695,0.01677248019972964,0.03591934979065023,0.023166629148002084,0.014835363139082925,0.034320155750030036
real,north_south,11,0.022524561202376548,0.014004722946817927,0.032462470677477616,0.02316662914800208,0.014835363139082925,0.034320155750030036
real,north_south,12,0.02023201116365429,0.013106554228922072,0.0272970962093105,0.018553804130548333,0.013725729049919068,0.02666301184149757
