variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s05_n1_rangetime_long,2544,5.41210494,2.28153430,0.99978208,2169.35791350,2537.07258670,0.81735586,0.69889108,-0.11846478,0.78288228,0.85182944
s05_n1_rangetime_long,2545,5.41156242,0.03087212,0.99907761,2169.38878562,2538.07166431,0.81767773,0.69890103,-0.11877670,0.78320415,0.85215131
s05_n1_rangetime_long,2546,5.40973311,0.12907414,0.99845520,2169.51785976,2539.07011952,0.81799939,0.69894261,-0.11905678,0.78352582,0.85247297
s05_n1_rangetime_long,2547,5.40791091,0.21869110,0.99522041,2169.73655086,2540.06533992,0.81832002,0.69901306,-0.11930696,0.78384644,0.85279360
s05_n1_rangetime_long,2548,5.40589516,2.54623980,0.99912373,2172.28279066,2541.06446365,0.81864190,0.69983337,-0.11880853,0.78416832,0.85311548
s05_n1_rangetime_long,2549,5.40556228,0.92335286,0.99973278,2173.20614352,2542.06419643,0.81896398,0.70013085,-0.11883314,0.78449040,0.85343756
s05_n1_rangetime_long,2550,5.40378819,0.54184908,0.99955306,2173.74799259,2543.06374950,0.81928600,0.70030541,-0.11898059,0.78481242,0.85375958
s05_n1_rangetime_long,2551,5.40154460,4.06985591,0.99957880,2177.81784850,2544.06332830,0.81960803,0.70161657,-0.11799146,0.78513445,0.85408161
s05_n1_rangetime_long,2552,5.39948791,6.44306208,0.99909639,2184.26091059,2545.06242469,0.81992990,0.70369230,-0.11623760,0.78545633,0.85440348
s05_n1_rangetime_long,2553,5.39798255,2.00102027,0.99972476,2186.26193085,2546.06214944,0.82025198,0.70433696,-0.11591502,0.78577840,0.85472556
s05_n1_rangetime_long,2554,5.39758986,1.49096202,0.99972496,2187.75289287,2547.06187440,0.82057406,0.70481730,-0.11575676,0.78610048,0.85504764
s05_n1_rangetime_long,2555,5.39677628,1.44370569,0.99897648,2189.19659856,2548.06085088,0.82089589,0.70528241,-0.11561348,0.78642231,0.85536947
s05_n1_rangetime_long,2556,5.39618071,0.02104954,0.99972197,2189.21764810,2549.06057285,0.82121797,0.70528919,-0.11592878,0.78674439,0.85569155
s05_n1_rangetime_long,2557,5.39448144,6.70207414,0.99948304,2195.91972225,2550.06005589,0.82153997,0.70744836,-0.11409160,0.78706639,0.85601355
s05_n1_rangetime_long,2558,5.39314805,0.42099268,0.99911509,2196.34071493,2551.05917097,0.82186185,0.70758399,-0.11427785,0.78738827,0.85633543
s05_n1_rangetime_long,2559,5.39233869,0.12666849,0.99867106,2196.46738342,2552.05784204,0.82218358,0.70762480,-0.11455878,0.78771000,0.85665716
s05_n1_rangetime_long,2560,5.39061440,0.09028735,0.99953523,2196.55767077,2553.05737727,0.82250560,0.70765389,-0.11485171,0.78803202,0.85697918
s05_n1_rangetime_long,2561,5.38897544,1.00956165,0.99969691,2197.56723242,2554.05707418,0.82282767,0.70797913,-0.11484853,0.78835409,0.85730124
s05_n1_rangetime_long,2562,5.38862632,0.39735206,0.99981546,2197.96458448,2555.05688964,0.82314977,0.70810715,-0.11504262,0.78867619,0.85762335
s05_n1_rangetime_long,2563,5.38768991,0.55277517,0.99950248,2198.51735964,2556.05639212,0.82347178,0.70828523,-0.11518654,0.78899820,0.85794535
s05_n1_rangetime_long,2564,5.38637099,1.57092943,0.99771268,2200.08828908,2557.05410480,0.82379320,0.70879133,-0.11500187,0.78931962,0.85826678
s05_n1_rangetime_long,2565,5.38422808,0.41951049,0.99982512,2200.50779956,2558.05392992,0.82411531,0.70892648,-0.11518883,0.78964173,0.85858889
s05_n1_rangetime_long,2566,5.38358335,0.34160524,0.99748871,2200.84940480,2559.05141863,0.82443667,0.70903654,-0.11540013,0.78996309,0.85891025
s05_n1_rangetime_long,2567,5.38138263,0.47618604,0.99701112,2201.32559084,2560.04842975,0.82475787,0.70918995,-0.11556792,0.79028429,0.85923145
s05_n1_rangetime_long,2568,5.38073642,0.34314931,0.99796006,2201.66874015,2561.04638981,0.82507938,0.70930050,-0.11577888,0.79060580,0.85955296
s05_n1_rangetime_long,2569,5.37994817,0.38947520,0.99827541,2202.05821535,2562.04466522,0.82540099,0.70942597,-0.11597502,0.79092741,0.85987457
s05_n1_rangetime_long,2570,5.37951274,0.01238271,0.99965356,2202.07059806,2563.04431878,0.82572304,0.70942996,-0.11629308,0.79124946,0.86019662
s05_n1_rangetime_long,2571,5.37811204,0.14298283,0.99836573,2202.21358089,2564.04268451,0.82604468,0.70947602,-0.11656865,0.79157110,0.86051826
s05_n1_rangetime_long,2572,5.37752667,0.20523611,0.99850556,2202.41881700,2565.04119007,0.82636636,0.70954214,-0.11682422,0.79189278,0.86083994
s05_n1_rangetime_long,2573,5.37597351,0.34173900,0.99568433,2202.76055600,2566.03687440,0.82668714,0.70965224,-0.11703490,0.79221356,0.86116072
s05_n1_rangetime_long,2574,5.37388986,0.00054490,0.99952555,2202.76110090,2567.03639995,0.82700915,0.70965242,-0.11735673,0.79253557,0.86148273
s05_n1_rangetime_long,2575,5.37315131,0.01747510,0.99902637,2202.77857600,2568.03542632,0.82733100,0.70965805,-0.11767295,0.79285742,0.86180458
s05_n1_rangetime_long,2576,5.37220371,0.19433794,0.99919483,2202.97291393,2569.03462115,0.82765291,0.70972066,-0.11793225,0.79317933,0.86212649
s05_n1_rangetime_long,2577,5.37172755,2.30126731,0.99975975,2205.27418124,2570.03438090,0.82797499,0.71046204,-0.11751295,0.79350141,0.86244857
s05_n1_rangetime_long,2578,5.37051981,5.98235298,0.99989732,2211.25653422,2571.03427822,0.82829713,0.71238935,-0.11590778,0.79382355,0.86277070
s05_n1_rangetime_long,2579,5.36934003,0.08519027,0.99765784,2211.34172449,2572.03193606,0.82861854,0.71241679,-0.11620174,0.79414496,0.86309212
s05_n1_rangetime_long,2580,5.36724535,4.45835246,0.99899184,2215.80007695,2573.03092790,0.82894038,0.71385312,-0.11508726,0.79446680,0.86341396
s05_n1_rangetime_long,2581,5.36449349,0.73182569,0.99813119,2216.53190264,2574.02905909,0.82926194,0.71408889,-0.11517305,0.79478836,0.86373552
s05_n1_rangetime_long,2582,5.36283036,0.38073953,0.99991352,2216.91264217,2575.02897261,0.82958408,0.71421155,-0.11537253,0.79511050,0.86405766
s05_n1_rangetime_long,2583,5.36212022,0.12492077,0.99883753,2217.03756293,2576.02781015,0.82990587,0.71425179,-0.11565407,0.79543229,0.86437945
s05_n1_rangetime_long,2584,5.36061970,4.43625489,0.99842633,2221.47381782,2577.02623647,0.83022752,0.71568100,-0.11454653,0.79575395,0.86470110
s05_n1_rangetime_long,2585,5.35957699,0.02110373,0.99845260,2221.49492155,2578.02468907,0.83054919,0.71568780,-0.11486139,0.79607561,0.86502277
s05_n1_rangetime_long,2586,5.35844045,1.54460470,0.99825522,2223.03952625,2579.02294429,0.83087079,0.71618541,-0.11468538,0.79639721,0.86534437
s05_n1_rangetime_long,2587,5.35618265,1.43378737,0.99917647,2224.47331361,2580.02212076,0.83119269,0.71664733,-0.11454536,0.79671911,0.86566627
s05_n1_rangetime_long,2588,5.35586792,0.72531848,0.99819039,2225.19863210,2581.02031114,0.83151428,0.71688100,-0.11463327,0.79704070,0.86598785
s05_n1_rangetime_long,2589,5.35404903,0.02025278,0.99918132,2225.21888488,2582.01949246,0.83183618,0.71688753,-0.11494865,0.79736260,0.86630976
s05_n1_rangetime_long,2590,5.35138803,0.45627968,0.99894338,2225.67516456,2583.01843584,0.83215800,0.71703452,-0.11512348,0.79768442,0.86663158
