pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
50,2,3,13.2341005366,13.5379359606,1.02295852469,0.000129790683762
1,3,4,11.5129440807,12.4707705923,1.0831956192,0.00164002017277
2,3,4,11.6170940336,12.2233173769,1.05218373386,0.00065799141814
3,3,4,11.4809499753,12.3083987378,1.0720714544,0.0012393693743
4,3,4,12.5874406083,12.5065573757,0.993574290826,1.0366868113e-05
5,3,4,11.7623143222,12.2518515129,1.04161912165,0.000421385693784
6,3,4,11.6738732796,12.2344412765,1.04801902363,0.000558642788543
7,3,4,11.4391463683,12.2938640131,1.07471865621,0.00132987201854
8,3,4,11.6934404853,12.3608296043,1.05707380303,0.000784637733298
9,3,4,12.0997030601,12.5695839631,1.03883408548,0.000367536425798
10,3,4,11.5010410011,12.3100505688,1.07034229055,0.00118189776108
11,3,4,11.8819263702,12.2943174914,1.03470742945,0.000294359776528
12,3,4,11.8843669134,12.2840474794,1.0336307831,0.000276573543203
13,3,4,11.536341497,12.176544831,1.05549448534,0.000742560868491
14,3,4,11.7021939066,12.2096091252,1.04336069139,0.000456877035125
15,3,4,11.6833933251,12.2200838506,1.04593618571,0.000511914926863
16,3,4,11.7104983701,12.2161504785,1.04317938422,0.00045311714196
17,3,4,11.7230295022,12.2402439168,1.0441195183,0.000472777130895
18,3,4,11.4358204355,12.2874754708,1.07447257851,0.00132133098406
19,3,4,11.4782556057,12.2991895922,1.07152079677,0.00122092600113
20,3,4,11.877640678,12.2883030961,1.03457440995,0.000292132956862
21,3,4,11.5083802441,12.31089619,1.06973317956,0.00116196353985
22,3,4,11.8943959844,12.2860304699,1.03292596665,0.000265223688448
23,3,4,11.5289541901,12.3307198199,1.06954365648,0.00115579412474
24,3,4,11.932856429,12.1436535464,1.01766526888,7.71086587204e-05
25,3,4,11.7388281667,12.2159036305,1.04064080818,0.000402061532493
26,3,4,11.9445182504,12.3426161096,1.03332891715,0.000271684030999
27,3,4,11.471859599,12.4474805324,1.08504470657,0.00171175810717
28,3,4,11.5113511032,12.3255219672,1.07072765454,0.00119459311191
29,3,4,11.6840842092,12.1981986992,1.04400126537,0.000470281935102
30,3,4,11.8749466892,12.1393701486,1.02226733865,0.000122148634609
31,3,4,11.4073749202,12.4470709368,1.09114244284,0.00195859139424
32,3,4,11.554000998,12.4548922221,1.07797223008,0.0014452592593
33,3,4,11.5189232286,12.454632846,1.08123238595,0.00156544863488
34,3,4,11.8501006524,12.2896168962,1.03708966335,0.000335636832429
35,3,4,11.7227941467,12.2233811757,1.04270202332,0.000443290023143
36,3,4,11.4902606113,12.4593294812,1.08433828462,0.00168417980209
37,3,4,11.8869198211,12.2905875269,1.0339589828,0.000281937986295
38,3,4,11.6781814157,12.2023739047,1.04488648278,0.000489116091211
39,3,4,11.6628383418,12.2078219991,1.04672821841,0.000529450744477
40,3,4,11.9000104531,12.3072133005,1.03421869661,0.000286218731221
41,3,4,11.6959987576,12.2129557446,1.04419947349,0.000474467859588
42,3,4,11.6613331084,12.3478404132,1.05887039658,0.000833860141609
43,3,4,11.6792950555,12.3785350991,1.05987005554,0.00086187202186
44,3,4,11.9113064365,12.1309289694,1.01843815656,8.39609183291e-05
45,3,4,11.4995031547,12.3095688771,1.07044354104,0.00118522706069
46,3,4,11.8966296752,12.1487602075,1.02119344211,0.000110728747144
47,3,4,11.6824471977,12.3765943313,1.059417956,0.000849148399326
48,3,4,11.8962751077,12.3005529175,1.03398356259,0.000282341772585
49,3,4,11.5956618489,12.5258647015,1.08021990161,0.00152763429895
50,3,4,11.9104966491,12.2833563018,1.03130513056,0.000240006692593
1,4,5,11.793201354,12.253291287,1.03901314996,0.000370890780606
2,4,5,11.2388419475,12.2338171745,1.08853004888,0.00185092089973
3,4,5,11.5819182132,12.1782385949,1.05148718639,0.000640828166468
4,4,5,11.0684359244,12.2996048204,1.11123241841,0.0028813660715
5,4,5,11.348896429,12.4125994517,1.09372744119,0.00206795395556
6,4,5,14.2262043702,13.3169211204,0.936083917667,0.0010670342816
7,4,5,12.7499814726,12.53423473,0.983078662267,7.24008257658e-05
8,4,5,11.7882541277,12.2625700231,1.04023631407,0.000394200830497
9,4,5,12.0465837576,12.5857910405,1.04476018212,0.000486406917337
10,4,5,11.6043500169,12.1727600667,1.04898249785,0.000580926589742
11,4,5,11.0987922347,12.2973435305,1.10798934428,0.00272118653853
12,4,5,11.1377533632,12.2990985423,1.10427104473,0.00254280773859
13,4,5,12.2919395961,12.5906838445,1.02430407716,0.000145322136051
14,4,5,12.6961345658,12.517022639,0.985892404824,5.02290271973e-05
15,4,5,11.0907605955,12.2715663309,1.10646751639,0.00264749669622
16,4,5,11.3752409649,12.2353045981,1.07560838806,0.00136097209212
17,4,5,11.143236079,12.2928131497,1.10316366472,0.00249077701202
18,4,5,11.5345304967,12.1759839812,1.05561158165,0.000745642217769
19,4,5,11.5771903652,12.1719303178,1.05137170021,0.000638003730711
20,4,5,11.3562263491,12.3846957683,1.09056436422,0.00193451831683
21,4,5,11.5538006454,12.1638668609,1.05280221065,0.000673414640799
22,4,5,11.1010935377,12.3034771691,1.1083121791,0.00273694018426
23,4,5,11.6354736078,12.1996835437,1.04849050025,0.00056949462771
24,4,5,11.0805899066,12.2834056149,1.10855159503,0.00274865056594
25,4,5,11.248125786,12.3647775455,1.09927447299,0.00231204040324
26,4,5,12.1295218011,12.5051121728,1.03096497767,0.000234871247206
27,4,5,11.8833777003,12.1304777737,1.02079375743,0.000106619605265
28,4,5,11.6399053391,12.1888115208,1.04715727197,0.000539069678214
29,4,5,11.3563242621,12.237939515,1.07763209579,0.00143298280366
30,4,5,13.1742611357,12.9547696141,0.983339367623,7.01746962228e-05
31,4,5,11.8512744432,12.1487004918,1.02509654553,0.000154873307161
32,4,5,11.7927511429,12.2517917635,1.03892565993,0.000369250003489
33,4,5,11.8274202641,12.2568151753,1.03630503538,0.000321749592768
34,4,5,10.9833947842,12.2795828565,1.11801342825,0.003230021316
35,4,5,11.0584736332,12.2905652768,1.1114160674,0.00289056436965
36,4,5,11.8572027176,12.1282743091,1.02286134411,0.000128702415589
37,4,5,11.3368497786,12.3692081516,1.09106219039,0.0019552410283
38,4,5,12.2193836187,12.493457659,1.02242944889,0.000123920488103
39,4,5,11.5386263857,12.1693339574,1.05466054195,0.000720793991567
40,4,5,11.3616923479,12.3716404619,1.08889064086,0.00186561178389
41,4,5,12.6682294946,12.5137762929,0.987807830468,3.74670977214e-05
42,4,5,11.5769607684,12.3123292688,1.06351999588,0.000967919221509
43,4,5,11.5547369933,12.3045425204,1.0648916135,0.00100929543955
44,4,5,11.0953846706,12.2879452077,1.10748257699,0.00269654300681
45,4,5,12.4222357227,12.4212134596,0.999917706997,1.69312747882e-09
46,4,5,11.02003103,12.298775334,1.11603817634,0.00312655238803
