iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
13,Lag1Nbs_05,5,1.389592,0.120179,0.147396,0.070837,0.116454,0.061504,0.097,6.873,0.0,6.97,1,9.203944,0.25276,0.326196,1.858327,0.06686,-0.124485,2.346239
13,Lag1Nbs_07,7,1.398372,0.093084,0.081208,0.103581,0.119766,0.038095,0.102,8.684,0.0,8.786,2,9.93693,0.280716,0.35002,2.207162,0.066476,-0.127331,2.404762
13,Lag1Nbs_09,9,1.390501,0.082017,0.067555,0.081767,0.098218,0.086126,0.108,10.332,0.0,10.44,1,10.054471,0.28436,0.358156,2.163534,0.078078,-0.143238,2.284686
13,Lag1Nbs_11,11,1.392493,0.076639,0.075859,0.015256,0.105413,0.037345,0.169,10.489,0.0,10.658,1,9.625681,0.273726,0.363796,2.030512,0.070335,-0.137004,2.406638
13,Lag1Nbs_13,13,1.399995,0.127645,0.184289,0.063568,0.049607,0.056589,0.113,11.745,0.0,11.858,1,9.020576,0.239707,0.308871,1.872864,0.07756,-0.13396,2.358526
13,Lag1Nbs_15,15,1.399811,0.099211,0.105763,0.023434,0.123929,0.063842,0.117,12.325,0.0,12.442,1,9.86701,0.268273,0.340407,1.953132,0.070786,-0.109355,2.340394
14,Lag1Nbs_03,3,1.403984,0.259521,0.25662,0.304546,0.29782,0.061285,0.098,5.224,0.0,5.322,1,8.167008,0.229157,0.268425,1.390908,0.046419,-0.121639,2.346789
14,Lag1Nbs_05,5,1.383202,0.281873,0.268998,0.323297,0.333639,0.109266,0.097,5.926,0.0,6.023,1,8.138638,0.213787,0.273605,1.353406,0.045516,-0.10182,2.226834
14,Lag1Nbs_07,7,1.396473,0.24324,0.27708,0.321202,0.194249,0.072128,0.102,7.118,0.0,7.219,1,8.080495,0.212605,0.268175,1.357595,0.063486,-0.103161,2.319679
14,Lag1Nbs_09,9,1.397337,0.247937,0.259441,0.275559,0.266569,0.101633,0.108,8.322,0.0,8.43,1,8.426861,0.216585,0.273591,1.448882,0.050326,-0.117517,2.245916
14,Lag1Nbs_11,11,1.383563,0.24441,0.256608,0.252946,0.27382,0.081694,0.112,8.653,0.0,8.765,1,8.064661,0.223112,0.277101,1.494107,0.050159,-0.112893,2.295764
14,Lag1Nbs_13,13,1.390147,0.230839,0.261391,0.241809,0.231653,0.047267,0.114,11.383,0.0,11.497,1,7.960512,0.221864,0.276359,1.516382,0.0538,-0.124961,2.381834
14,Lag1Nbs_15,15,1.385625,0.315593,0.296492,0.358598,0.378286,0.136656,0.175,10.208,0.0,10.383,1,8.052117,0.206034,0.257075,1.282804,0.042881,-0.092446,2.15836
15,Lag1Nbs_03,3,1.400357,0.071462,0.051941,0.037392,0.100642,0.077448,0.094,5.567,0.0,5.661,1,10.736364,0.310782,0.385143,2.074785,0.084546,-0.109558,2.306381
15,Lag1Nbs_05,5,1.389286,0.15824,0.102614,0.148118,0.238231,0.0908,0.098,8.423,0.0,8.521,4,11.450158,0.325213,0.423651,2.296236,0.100389,-0.153764,2.272999
15,Lag1Nbs_07,7,1.3939,0.079162,0.031979,0.043818,0.134025,0.054338,0.103,8.422,0.0,8.525,1,10.266801,0.301742,0.380723,1.912365,0.088802,-0.106554,2.364154
15,Lag1Nbs_09,9,1.391611,0.065441,0.045674,0.019961,0.087084,0.090297,0.109,10.974,0.0,11.083,1,10.57279,0.304086,0.378865,2.039922,0.08115,-0.110588,2.274259
15,Lag1Nbs_11,11,1.396616,0.097171,0.044431,0.114844,0.152145,0.02622,0.114,11.897,0.0,12.011,1,10.522236,0.31552,0.390889,2.229688,0.096627,-0.118988,2.434449
15,Lag1Nbs_13,13,1.383412,0.090552,0.019083,0.090338,0.149313,0.059625,0.114,12.157,0.0,12.271,1,10.153722,0.305312,0.390682,2.180676,0.093745,-0.141468,2.350936
15,Lag1Nbs_15,15,1.383481,0.074052,0.048592,0.02001,0.095643,0.112281,0.118,11.465,0.0,11.583,1,10.557054,0.306133,0.376125,1.959981,0.076533,-0.109855,2.219298
16,Lag1Nbs_03,3,1.394396,0.103664,0.136733,0.120903,0.018552,0.061888,0.15,6.3,0.0,6.45,4,9.078413,0.253717,0.3383,1.758193,0.081888,-0.124556,2.345279
16,Lag1Nbs_05,5,1.395148,0.094131,0.096967,0.093485,0.105974,0.051152,0.097,7.085,0.0,7.182,1,9.627491,0.260174,0.361641,1.81303,0.082897,-0.144324,2.372121
16,Lag1Nbs_07,7,1.396794,0.15288,0.155705,0.13253,0.18815,0.050099,0.105,6.098,0.0,6.202,1,9.013761,0.247638,0.327843,1.734941,0.096611,-0.146965,2.374753
16,Lag1Nbs_09,9,1.389557,0.125294,0.170035,0.125471,0.043304,0.060511,0.111,8.673,0.0,8.784,1,8.789315,0.246977,0.319164,1.749059,0.079503,-0.118323,2.348724
16,Lag1Nbs_11,11,1.385477,0.127695,0.175844,0.086446,0.070486,0.063001,0.111,13.425,0.0,13.536,4,8.729897,0.238702,0.325293,1.827108,0.087298,-0.120936,2.342498
16,Lag1Nbs_13,13,1.38599,0.125797,0.148482,0.134142,0.085762,0.109224,0.117,11.74,0.0,11.856,4,9.239861,0.248659,0.329487,1.731716,0.088018,-0.134606,2.22694
16,Lag1Nbs_15,15,1.38577,0.116975,0.142815,0.129873,0.067443,0.092893,0.117,10.185,0.0,10.302,1,9.203254,0.255477,0.327541,1.740253,0.087493,-0.123732,2.267768
17,Lag1Nbs_03,3,1.383462,0.291376,0.264895,0.219585,0.409311,0.022426,0.096,5.592,0.0,5.688,1,7.560245,0.209424,0.302161,1.560831,0.034155,-0.136295,2.443936
17,Lag1Nbs_05,5,1.383267,0.231021,0.234405,0.23756,0.27365,0.05053,0.152,8.023,0.0,8.176,1,8.081711,0.216267,0.310437,1.52488,0.053242,-0.150529,2.373674
17,Lag1Nbs_07,7,1.396161,0.253368,0.256175,0.215686,0.32083,0.010208,0.103,7.122,0.0,7.225,4,7.923532,0.213166,0.294184,1.568627,0.045432,-0.14344,2.474481
17,Lag1Nbs_09,9,1.392207,0.258425,0.262538,0.19434,0.332623,0.040782,0.112,16.333,0.0,16.445,4,7.934721,0.210636,0.29017,1.61132,0.045577,-0.149948,2.398044
17,Lag1Nbs_11,11,1.386317,0.239689,0.245607,0.254209,0.279404,0.020763,0.111,11.523,0.0,11.634,4,7.846647,0.214531,0.307537,1.491582,0.048699,-0.11904,2.448091
17,Lag1Nbs_13,13,1.383384,0.225632,0.27412,0.219929,0.193349,0.088349,0.114,14.47,0.0,14.584,2,7.962953,0.201176,0.290152,1.560142,0.058345,-0.130875,2.279126
17,Lag1Nbs_15,15,1.378088,0.279741,0.25956,0.274501,0.366366,0.043258,0.118,12.286,0.0,12.404,1,7.662337,0.215043,0.296253,1.450999,0.039368,-0.138901,2.391854
18,Lag1Nbs_03,3,1.417854,0.060736,0.0551,0.011514,0.087891,0.033648,0.095,4.854,0.0,4.949,1,10.786031,0.29821,0.378482,2.023027,0.077372,-0.110896,2.415881
