year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,22,lat,Corridor_4x4_lag643,0.1185,0.1094,-0.1094,hour_dummy_plus_lat_lon_ols,True,5.8252,0.1855,0.2188,1.2228,2.2176
2022,7,22,lat,Debiased_Whittle,0.1366,0.1282,-0.1282,hour_dummy_plus_lat_lon_ols,True,4.7308,0.1543,0.1557,1.1756,2.1122
2022,7,22,lat,Vecchia_mm20,0.0744,0.0661,-0.0505,hour_dummy_plus_lat_lon_ols,True,6.4981,0.3717,0.4927,2.6255,3.0067
2022,7,22,lon,Corridor_4x4_lag643,0.1806,0.1701,-0.1701,hour_dummy_plus_lat_lon_ols,True,5.8252,0.1855,0.2188,1.2228,2.2176
2022,7,22,lon,Debiased_Whittle,0.2114,0.2052,-0.2052,hour_dummy_plus_lat_lon_ols,True,4.7308,0.1543,0.1557,1.1756,2.1122
2022,7,22,lon,Vecchia_mm20,0.1058,0.0942,-0.0794,hour_dummy_plus_lat_lon_ols,True,6.4981,0.3717,0.4927,2.6255,3.0067
2022,7,23,lat,Corridor_4x4_lag643,0.1158,0.1044,-0.1044,hour_dummy_plus_lat_lon_ols,True,5.1210,0.2030,0.1903,1.3480,1.9271
2022,7,23,lat,Debiased_Whittle,0.1445,0.1359,-0.1359,hour_dummy_plus_lat_lon_ols,True,3.6789,0.1457,0.1234,1.0953,1.6865
2022,7,23,lat,Vecchia_mm20,0.0796,0.0698,-0.0524,hour_dummy_plus_lat_lon_ols,True,5.4723,0.3754,0.4239,2.5367,2.5358
2022,7,23,lon,Corridor_4x4_lag643,0.1331,0.1206,-0.1206,hour_dummy_plus_lat_lon_ols,True,5.1210,0.2030,0.1903,1.3480,1.9271
2022,7,23,lon,Debiased_Whittle,0.1753,0.1608,-0.1608,hour_dummy_plus_lat_lon_ols,True,3.6789,0.1457,0.1234,1.0953,1.6865
2022,7,23,lon,Vecchia_mm20,0.0634,0.0606,-0.0389,hour_dummy_plus_lat_lon_ols,True,5.4723,0.3754,0.4239,2.5367,2.5358
2022,7,24,lat,Corridor_4x4_lag643,0.0737,0.0709,-0.0487,hour_dummy_plus_lat_lon_ols,True,4.5545,0.2014,0.2112,2.3757,2.2211
2022,7,24,lat,Debiased_Whittle,0.1257,0.1158,-0.1158,hour_dummy_plus_lat_lon_ols,True,2.3522,0.0718,0.0721,0.9306,1.3251
2022,7,24,lat,Vecchia_mm20,0.2437,0.2117,0.2117,hour_dummy_plus_lat_lon_ols,True,9.5042,1.0656,1.2839,12.6092,2.9453
2022,7,24,lon,Corridor_4x4_lag643,0.1713,0.1553,-0.1402,hour_dummy_plus_lat_lon_ols,True,4.5545,0.2014,0.2112,2.3757,2.2211
2022,7,24,lon,Debiased_Whittle,0.2190,0.2167,-0.2167,hour_dummy_plus_lat_lon_ols,True,2.3522,0.0718,0.0721,0.9306,1.3251
2022,7,24,lon,Vecchia_mm20,0.2167,0.1765,0.1765,hour_dummy_plus_lat_lon_ols,True,9.5042,1.0656,1.2839,12.6092,2.9453
2022,7,25,lat,Corridor_4x4_lag643,0.1116,0.1047,-0.1047,hour_dummy_plus_lat_lon_ols,True,4.5479,0.1700,0.1786,0.9743,2.1356
2022,7,25,lat,Debiased_Whittle,0.0871,0.0794,-0.0750,hour_dummy_plus_lat_lon_ols,True,4.7258,0.2067,0.2172,1.1367,1.4229
2022,7,25,lat,Vecchia_mm20,0.0561,0.0508,-0.0437,hour_dummy_plus_lat_lon_ols,True,5.3679,0.3537,0.3842,2.1628,2.7596
2022,7,25,lon,Corridor_4x4_lag643,0.1603,0.1514,-0.1514,hour_dummy_plus_lat_lon_ols,True,4.5479,0.1700,0.1786,0.9743,2.1356
2022,7,25,lon,Debiased_Whittle,0.1378,0.1228,-0.1191,hour_dummy_plus_lat_lon_ols,True,4.7258,0.2067,0.2172,1.1367,1.4229
2022,7,25,lon,Vecchia_mm20,0.0960,0.0844,-0.0766,hour_dummy_plus_lat_lon_ols,True,5.3679,0.3537,0.3842,2.1628,2.7596
2022,7,26,lat,Corridor_4x4_lag643,0.0971,0.0886,-0.0127,hour_dummy_plus_lat_lon_ols,True,9.4906,0.2250,0.2372,1.3418,1.5834
2022,7,26,lat,Debiased_Whittle,0.0930,0.0841,-0.0081,hour_dummy_plus_lat_lon_ols,True,9.0862,0.2319,0.2514,1.5268,1.4209
2022,7,26,lat,Vecchia_mm20,0.0716,0.0576,0.0236,hour_dummy_plus_lat_lon_ols,True,9.8208,0.3295,0.4338,1.9178,2.1909
