basis,mode,time_index,leading_temporal_factor,time_energy_fraction
fitted_null,56,5,-0.314862939862,0.120841132309
fitted_null,56,6,-0.609353150669,0.242206176651
fitted_null,56,7,0.664589101782,0.277650482849
fitted_null,57,0,-0.159550566107,0.0553532798676
fitted_null,57,1,0.331718092188,0.104344849654
fitted_null,57,2,-0.253002156934,0.134454219428
fitted_null,57,3,0.244828377254,0.127117712645
fitted_null,57,4,-0.550630126064,0.187118537916
fitted_null,57,5,0.608981887372,0.246348421869
fitted_null,57,6,-0.257371293681,0.105906923921
fitted_null,57,7,0.0162246960359,0.0393560547001
fitted_null,58,0,0.0408557661668,0.0159764393007
fitted_null,58,1,-0.338537227509,0.106375037035
fitted_null,58,2,0.640079258849,0.288471324585
fitted_null,58,3,-0.593810807664,0.247804288156
fitted_null,58,4,0.334609670382,0.149252591023
fitted_null,58,5,-0.0959540276092,0.121606414916
fitted_null,58,6,0.0138118495176,0.0509716330538
fitted_null,58,7,-0.0070032092277,0.0195422719308
fitted_null,59,0,0.00815229728546,0.0247167713385
fitted_null,59,1,-0.0995394888041,0.0448239682978
fitted_null,59,2,0.0441976121271,0.0303358527951
fitted_null,59,3,0.0600562548216,0.0332493998548
fitted_null,59,4,0.433368368988,0.180255185069
fitted_null,59,5,-0.475463651695,0.19532442275
fitted_null,59,6,-0.503674693825,0.215965681941
fitted_null,59,7,0.562941580481,0.275328717953
fitted_null,60,0,-0.121135375841,0.0205049997802
fitted_null,60,1,0.365486039018,0.0968459016835
fitted_null,60,2,-0.50753048973,0.203625731377
fitted_null,60,3,0.592856645132,0.237260119804
fitted_null,60,4,-0.431671966186,0.226350617761
fitted_null,60,5,-0.0413496806829,0.139270134778
fitted_null,60,6,0.222029368393,0.0504366067509
fitted_null,60,7,-0.0730236496405,0.0257058880651
fitted_null,61,0,0.189638392626,0.0351639617559
fitted_null,61,1,-0.330015876181,0.102336712783
fitted_null,61,2,0.140356408069,0.133875606597
fitted_null,61,3,0.161766544266,0.135007944417
fitted_null,61,4,-0.0850794795836,0.113407613054
fitted_null,61,5,-0.516853878229,0.173523916919
fitted_null,61,6,0.686311563306,0.253497103555
fitted_null,61,7,-0.252702303447,0.0531871409179
fitted_null,62,0,-0.117105080221,0.138189220781
fitted_null,62,1,-0.149370960627,0.100200947982
fitted_null,62,2,-0.0643889446713,0.109157973163
fitted_null,62,3,0.215118773489,0.12015418499
fitted_null,62,4,0.115150802206,0.07482745824
fitted_null,62,5,0.138479270975,0.0723598985509
fitted_null,62,6,0.757098296822,0.208258020245
fitted_null,62,7,-0.554904177868,0.176852296047
fitted_null,63,0,-0.0398411202762,0.0569767109843
fitted_null,63,1,0.305108457047,0.148745646904
fitted_null,63,2,-0.539178765479,0.200227393268
fitted_null,63,3,0.573055285312,0.239379893165
fitted_null,63,4,-0.492832221744,0.185492677936
fitted_null,63,5,0.181999472642,0.0995688011078
fitted_null,63,6,0.0768402022033,0.0365268413459
fitted_null,63,7,-0.0656017522688,0.0330820352897
fitted_null,64,0,-0.494104553562,0.169089537754
fitted_null,64,1,0.679825244539,0.304515036606
fitted_null,64,2,-0.0657235831992,0.0481339112633
fitted_null,64,3,-0.00947316730244,0.105114074095
fitted_null,64,4,-0.339098107991,0.154820036965
fitted_null,64,5,0.0157082030997,0.0764121892889
fitted_null,64,6,0.371126246132,0.107303194235
fitted_null,64,7,-0.190578151147,0.0346120197924
fitted_null,65,0,0.047110426715,0.0462498957137
fitted_null,65,1,-0.350430604937,0.176590003331
fitted_null,65,2,0.628186272431,0.259219044394
fitted_null,65,3,-0.54694815256,0.231323362877
fitted_null,65,4,0.380326830477,0.1464718895
fitted_null,65,5,-0.189676026663,0.0628653454756
fitted_null,65,6,0.0231692332098,0.0518399786807
fitted_null,65,7,-0.006813069782,0.0254404800276
fitted_null,66,0,-0.0388437201944,0.0435054021442
fitted_null,66,1,0.296025269632,0.125709884684
fitted_null,66,2,-0.557918039201,0.237060884839
fitted_null,66,3,0.602663770264,0.27839857903
fitted_null,66,4,-0.46128381885,0.179483350531
fitted_null,66,5,0.140800050733,0.0818603788313
fitted_null,66,6,0.0553204717081,0.0348312297121
fitted_null,66,7,-0.0267633383145,0.0191502902282
fitted_null,67,0,-0.0120433954413,0.0211900075094
fitted_null,67,1,-0.0530926796775,0.0607602123073
fitted_null,67,2,0.159330692255,0.125557297537
fitted_null,67,3,-0.325846291402,0.130305388299
fitted_null,67,4,0.647002990925,0.274858752997
fitted_null,67,5,-0.634371375994,0.28047271781
fitted_null,67,6,0.210148445464,0.0798446654163
fitted_null,67,7,0.0164853510266,0.0270109581231
fitted_null,68,0,0.0534736561664,0.0699796115915
fitted_null,68,1,-0.380429564438,0.117949406847
fitted_null,68,2,0.189139682478,0.103901221839
fitted_null,68,3,0.53122966985,0.164882000331
fitted_null,68,4,0.486705403527,0.194724813061
fitted_null,68,5,-0.508807734499,0.192079911779
fitted_null,68,6,0.190208712361,0.0714317718287
fitted_null,68,7,0.0498830453603,0.0850512627237
fitted_null,69,0,-0.120946090067,0.0343001029479
fitted_null,69,1,0.153775546835,0.132740731524
fitted_null,69,2,0.0500880219788,0.18114530074
fitted_null,69,3,-0.422549398402,0.18682393035
fitted_null,69,4,0.744911311594,0.286554629184
fitted_null,69,5,-0.469103985943,0.153954481209
fitted_null,69,6,-0.00717596332663,0.0106462089112
