year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,23,lat,Corridor_4x4_lag643,3.4624,2.2002,2.1503,5.1210,0.2030,0.1903,1.3480,0.0177,-0.0305,1.9271
2022,7,23,lat,Debiased_Whittle,4.6123,3.5333,3.5333,3.6789,0.1457,0.1234,1.0953,0.0004,-0.0009,1.6865
2022,7,23,lat,Vecchia_mm20,2.9258,1.8190,1.7949,5.4723,0.3754,0.4239,2.5367,0.0092,-0.0484,2.5358
2022,7,23,lon,Corridor_4x4_lag643,0.4497,0.3580,-0.1024,5.1210,0.2030,0.1903,1.3480,0.0177,-0.0305,1.9271
2022,7,23,lon,Debiased_Whittle,1.4291,1.2544,1.2544,3.6789,0.1457,0.1234,1.0953,0.0004,-0.0009,1.6865
2022,7,23,lon,Vecchia_mm20,0.4744,0.4406,-0.2817,5.4723,0.3754,0.4239,2.5367,0.0092,-0.0484,2.5358
2022,7,24,lat,Corridor_4x4_lag643,0.6981,0.5999,-0.5648,4.5545,0.2014,0.2112,2.3757,0.0061,-0.0107,2.2211
2022,7,24,lat,Debiased_Whittle,2.0229,1.9323,1.9323,2.3522,0.0718,0.0721,0.9306,-0.0000,-0.0003,1.3251
2022,7,24,lat,Vecchia_mm20,2.9801,2.4277,-2.2657,9.5042,1.0656,1.2839,12.6092,0.0011,-0.0102,2.9453
2022,7,24,lon,Corridor_4x4_lag643,1.2192,1.0721,-1.0603,4.5545,0.2014,0.2112,2.3757,0.0061,-0.0107,2.2211
2022,7,24,lon,Debiased_Whittle,1.4672,1.3994,1.3994,2.3522,0.0718,0.0721,0.9306,-0.0000,-0.0003,1.3251
2022,7,24,lon,Vecchia_mm20,2.7287,2.2090,-2.0864,9.5042,1.0656,1.2839,12.6092,0.0011,-0.0102,2.9453
2022,7,25,lat,Corridor_4x4_lag643,3.1249,2.2556,2.0358,4.5479,0.1700,0.1786,0.9743,0.0008,-0.2056,2.1356
2022,7,25,lat,Debiased_Whittle,3.5217,2.7338,2.7338,4.7258,0.2067,0.2172,1.1367,0.0256,-0.1614,1.4229
2022,7,25,lat,Vecchia_mm20,2.2325,1.4626,1.4388,5.3679,0.3537,0.3842,2.1628,-0.0002,-0.0618,2.7596
2022,7,25,lon,Corridor_4x4_lag643,0.4743,0.4129,-0.0841,4.5479,0.1700,0.1786,0.9743,0.0008,-0.2056,2.1356
2022,7,25,lon,Debiased_Whittle,0.7061,0.6045,0.6045,4.7258,0.2067,0.2172,1.1367,0.0256,-0.1614,1.4229
2022,7,25,lon,Vecchia_mm20,0.8406,0.7232,-0.6521,5.3679,0.3537,0.3842,2.1628,-0.0002,-0.0618,2.7596
2022,7,26,lat,Corridor_4x4_lag643,6.5077,4.6934,4.0848,9.4906,0.2250,0.2372,1.3418,0.0337,-0.2360,1.5834
2022,7,26,lat,Debiased_Whittle,6.8809,4.9368,4.6389,9.0862,0.2319,0.2514,1.5268,0.0296,-0.2618,1.4209
2022,7,26,lat,Vecchia_mm20,5.9206,4.0196,4.0129,9.8208,0.3295,0.4338,1.9178,0.0537,-0.1816,2.1909
2022,7,26,lon,Corridor_4x4_lag643,0.9735,0.8580,-0.4857,9.4906,0.2250,0.2372,1.3418,0.0337,-0.2360,1.5834
2022,7,26,lon,Debiased_Whittle,0.8456,0.7180,0.1232,9.0862,0.2319,0.2514,1.5268,0.0296,-0.2618,1.4209
2022,7,26,lon,Vecchia_mm20,0.4812,0.4017,-0.3216,9.8208,0.3295,0.4338,1.9178,0.0537,-0.1816,2.1909
2022,7,27,lat,Corridor_4x4_lag643,1.5697,1.3034,0.7496,8.7649,0.2258,0.2513,1.5184,0.0662,-0.2468,1.6469
2022,7,27,lat,Debiased_Whittle,1.5066,1.2771,0.4087,9.1775,0.2144,0.2447,1.6276,0.0637,-0.2831,1.5060
2022,7,27,lat,Vecchia_mm20,0.5719,0.4793,-0.1152,10.0413,0.3401,0.4815,2.2943,0.0604,-0.1849,2.3192
2022,7,27,lon,Corridor_4x4_lag643,0.9058,0.7874,-0.4786,8.7649,0.2258,0.2513,1.5184,0.0662,-0.2468,1.6469
2022,7,27,lon,Debiased_Whittle,1.1089,0.9255,-0.7461,9.1775,0.2144,0.2447,1.6276,0.0637,-0.2831,1.5060
2022,7,27,lon,Vecchia_mm20,1.0947,0.9728,-0.9664,10.0413,0.3401,0.4815,2.2943,0.0604,-0.1849,2.3192
2022,7,28,lat,Corridor_4x4_lag643,1.6635,1.4174,1.0110,6.5085,0.1628,0.1364,0.8641,0.0354,-0.2918,1.7223
2022,7,28,lat,Debiased_Whittle,1.9060,1.6387,1.2196,6.3062,0.1361,0.1064,0.7437,0.0784,-0.3548,1.5972
2022,7,28,lat,Vecchia_mm20,1.0142,0.7429,0.7071,6.5134,0.2717,0.2740,1.2763,0.0415,-0.1921,2.6018
2022,7,28,lon,Corridor_4x4_lag643,0.9111,0.7895,0.2173,6.5085,0.1628,0.1364,0.8641,0.0354,-0.2918,1.7223
2022,7,28,lon,Debiased_Whittle,1.1120,0.9642,0.3963,6.3062,0.1361,0.1064,0.7437,0.0784,-0.3548,1.5972
2022,7,28,lon,Vecchia_mm20,0.4725,0.4193,-0.0887,6.5134,0.2717,0.2740,1.2763,0.0415,-0.1921,2.6018
2023,7,1,lat,Corridor_4x4_lag643,1.1068,0.8180,0.1961,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065
2023,7,1,lat,Debiased_Whittle,4.4095,4.0246,4.0246,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125
2023,7,1,lat,Vecchia_mm20,1.0781,0.7427,0.5915,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739
2023,7,1,lon,Corridor_4x4_lag643,1.2480,1.0981,-1.0981,10.5390,0.1928,0.2567,1.7627,0.0032,-0.0543,2.0065
2023,7,1,lon,Debiased_Whittle,2.7216,2.5164,2.5164,5.8904,0.1346,0.1765,1.5206,-0.0091,0.0230,2.0125
2023,7,1,lon,Vecchia_mm20,0.7148,0.6613,-0.4578,9.3117,0.2705,0.4009,2.6712,0.0059,-0.0555,3.1739
2023,7,2,lat,Corridor_4x4_lag643,0.9551,0.7725,0.4867,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485
2023,7,2,lat,Debiased_Whittle,2.8995,2.6628,2.6628,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579
2023,7,2,lat,Vecchia_mm20,0.6315,0.5617,-0.2539,10.7740,0.2245,0.2937,2.1070,0.0036,-0.0697,2.9197
2023,7,2,lon,Corridor_4x4_lag643,0.7925,0.6873,-0.1065,10.2500,0.1464,0.1721,1.1986,0.0103,-0.0708,1.9485
2023,7,2,lon,Debiased_Whittle,2.2650,1.9565,1.9565,8.2765,0.1281,0.1398,0.9891,0.0065,-0.0267,1.4579
2023,7,2,lon,Vecchia_mm20,0.9303,0.7697,-0.6065,10.7740,0.2245,0.2937,2.1070,0.0036,-0.0697,2.9197
2023,7,3,lat,Corridor_4x4_lag643,0.3131,0.2532,-0.1029,8.0858,0.1900,0.2287,1.5718,0.0115,-0.0723,2.8134
2023,7,3,lat,Debiased_Whittle,0.9162,0.8442,0.3782,6.6233,0.1299,0.1638,1.1947,0.0359,-0.0878,3.3147
2023,7,3,lat,Vecchia_mm20,2.2718,1.8780,-1.8170,10.4627,0.4461,0.6306,3.7250,0.0017,-0.0522,3.9979
2023,7,3,lon,Corridor_4x4_lag643,0.6485,0.5362,-0.2589,8.0858,0.1900,0.2287,1.5718,0.0115,-0.0723,2.8134
2023,7,3,lon,Debiased_Whittle,0.9833,0.8549,0.1630,6.6233,0.1299,0.1638,1.1947,0.0359,-0.0878,3.3147
2023,7,3,lon,Vecchia_mm20,1.6757,1.3586,-1.2886,10.4627,0.4461,0.6306,3.7250,0.0017,-0.0522,3.9979
2023,7,4,lat,Corridor_4x4_lag643,1.4026,1.1413,0.7701,9.1719,0.1811,0.1971,1.0936,0.0351,-0.2620,1.2019
2023,7,4,lat,Debiased_Whittle,1.5703,1.3488,0.7510,9.3581,0.1488,0.1601,1.1396,0.0397,-0.2921,0.8448
