year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2023,Corridor_4x4_lag643,2023-07-15,9.0782,0.1941,0.2233,1.1100,-0.0177,-0.0772,0.4019,1.0377,20.1185
2023,Debiased_Whittle,2023-07-15,6.6824,0.2186,0.2614,1.2119,-0.0136,0.0377,0.3249,-668025.2640,78.1380
2023,Vecchia_mm20,2023-07-15,10.1821,0.2889,0.3567,1.5424,-0.0193,-0.0795,0.7368,1.1818,26.4424
2023,Corridor_4x4_lag643,2023-07-16,9.6882,0.1732,0.2094,1.0561,-0.0342,-0.0161,0.9350,1.1899,22.9753
2023,Debiased_Whittle,2023-07-16,8.8828,0.1427,0.1791,1.0094,0.0248,-0.0186,0.9544,167684.7680,80.2860
2023,Vecchia_mm20,2023-07-16,9.9870,0.2731,0.3679,1.4149,-0.0456,-0.0201,1.5664,1.2978,34.8981
2023,Corridor_4x4_lag643,2023-07-17,9.2698,0.2300,0.2321,1.2960,-0.0069,-0.0213,0.8156,1.0890,21.7484
2023,Debiased_Whittle,2023-07-17,10.4421,0.2000,0.1993,1.1967,0.0441,-0.0854,0.5580,-20282.1440,77.7914
2023,Vecchia_mm20,2023-07-17,11.8692,0.4339,0.4724,2.3122,-0.0025,-0.0328,1.4055,1.2301,35.9363
2023,Corridor_4x4_lag643,2023-07-18,8.4373,0.2105,0.2594,0.7546,-0.1038,0.0274,1.0091,1.0992,19.3567
2023,Debiased_Whittle,2023-07-18,7.2366,0.1687,0.2134,0.5422,0.0876,-0.1303,1.0645,-53133.5040,98.6274
2023,Vecchia_mm20,2023-07-18,9.8083,0.4233,0.5319,1.3263,-0.2613,0.0866,1.6649,1.2191,35.3178
2023,Corridor_4x4_lag643,2023-07-19,6.3442,0.1277,0.1619,1.1120,0.0036,0.0133,1.5756,1.2226,30.3716
2023,Debiased_Whittle,2023-07-19,5.4882,0.1206,0.1294,0.7548,-0.0005,-0.0007,1.4070,112694.4480,91.7234
2023,Vecchia_mm20,2023-07-19,7.1075,0.2729,0.3483,2.0849,0.0102,0.0073,2.6044,1.3272,46.8138
2023,Corridor_4x4_lag643,2023-07-20,5.2249,0.1576,0.2234,1.7796,0.0089,0.0069,1.6449,1.1200,32.0425
