operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
subset_vecchia_precision,full,64,10,1441,1600,160,134.90428557863788,0.7698279620220803,0.6686363873094178,-0.10119157471266249
subset_vecchia_precision,full,64,11,1601,1760,160,120.76612617655474,0.6694364108988026,0.6686471258292364,-0.0007892850695662146
subset_vecchia_precision,full,64,12,1761,1920,160,223.3896050067192,0.8104029741884574,0.8052892553942841,-0.0051137187941733275
subset_vecchia_precision,full,64,13,1921,2080,160,106.10086738566952,0.9600021565611229,0.9616077572372372,0.0016056006761143715
subset_vecchia_precision,full,64,14,2081,2240,160,192.80071279297317,0.8709618134384215,0.8913353486790714,0.020373535240649887
subset_vecchia_precision,full,64,15,2241,2400,160,177.164632498625,0.9054938962146167,0.948282082371141,0.042788186156524244
subset_vecchia_precision,full,64,16,2401,2560,160,151.38155317376822,1.063124239770636,1.1869188135969018,0.1237945738262658
subset_vecchia_precision,full,64,17,2561,2720,160,150.47506861708598,1.0965673583759923,1.0674419341036596,-0.029125424272332667
subset_vecchia_precision,full,64,18,2721,2880,160,149.8508667984902,0.8078754768708194,0.7481596270222177,-0.059715849848601676
subset_vecchia_precision,full,64,19,2881,3040,160,158.51774589584375,0.8380399681536602,0.8559763882847968,0.01793642013113661
subset_vecchia_precision,full,64,20,3041,3200,160,157.37989198481682,1.1282201894557886,1.150286115391444,0.022065925935655484
subset_vecchia_precision,full,128,1,1,160,160,154.20794614829725,2.7226098961866256,2.9184238312999073,0.1958139351132817
subset_vecchia_precision,full,128,2,161,320,160,163.90980908017144,1.1350882511757638,1.0783802550660915,-0.056707996109672365
subset_vecchia_precision,full,128,3,321,480,160,161.81073874189633,0.9738862293238988,0.8880868999016496,-0.08579932942224922
subset_vecchia_precision,full,128,4,481,640,160,153.369267729419,0.8831366410929213,0.8608733835530721,-0.022263257539849257
subset_vecchia_precision,full,128,5,641,800,160,172.35872397140304,0.8105628619926002,0.8582131477985787,0.04765028580597852
subset_vecchia_precision,full,128,6,801,960,160,167.73558984597412,0.6918873757144552,0.6472319202271585,-0.04465545548729677
subset_vecchia_precision,full,128,7,961,1120,160,165.07845558828558,0.6341013920702793,0.6204878541645156,-0.013613537905763695
